"date_id","활성사용자수","활성사용자수(웰컴 및 Event 수신제외)","신규사용자수","재방문사용자수","누적사용자수"
"2021-11-01","252","252","2","250","2820"
"2021-11-02","304","304","3","301","2823"
"2021-11-03","293","293","9","284","2832"
"2021-11-04","258","258","3","255","2835"
"2021-11-05","205","205","5","200","2840"
"2021-11-06","51","51","0","51","2840"
"2021-11-07","16","16","1","15","2841"
"2021-11-08","255","255","5","250","2846"
"2021-11-09","305","305","12","293","2858"
"2021-11-10","324","323","11","313","2869"
"2021-11-11","334","334","6","328","2875"
"2021-11-12","281","281","10","271","2885"
"2021-11-13","50","50","2","48","2887"
"2021-11-14","18","17","2","16","2889"
"2021-11-15","368","367","11","357","2900"
"2021-11-16","414","414","20","394","2920"
"2021-11-17","396","396","9","387","2929"
"2021-11-18","363","362","11","352","2940"
"2021-11-19","330","330","9","321","2949"
"2021-11-20","37","37","0","37","2949"
"2021-11-21","13","13","1","12","2950"
"2021-11-22","380","380","10","370","2960"
"2021-11-23","415","413","10","405","2970"
"2021-11-24","361","425","14","347","2984"
