"date_id","활성사용자수","활성사용자수(웰컴 및 Event 수신제외)","신규사용자수","재방문사용자수","누적사용자수"
"2021-02-01","46","46","0","46","1374"
"2021-02-02","41","41","1","40","1375"
"2021-02-03","50","50","1","49","1376"
"2021-02-04","51","51","1","50","1377"
"2021-02-05","43","42","3","40","1380"
"2021-02-06","5","5","1","4","1381"
"2021-02-07","3","3","0","3","1381"
"2021-02-08","40","40","1","39","1382"
"2021-02-09","44","44","1","43","1383"
"2021-02-10","21","21","0","21","1383"
"2021-02-11","2","2","1","1","1384"
"2021-02-12","2","2","0","2","1384"
"2021-02-14","2","2","0","2","1384"
"2021-02-15","43","43","0","43","1384"
"2021-02-16","38","38","0","38","1384"
"2021-02-17","48","47","2","46","1386"
"2021-02-18","41","38","9","32","1395"
"2021-02-19","31","30","11","20","1406"
"2021-02-20","12","12","10","2","1416"
"2021-02-21","6","6","4","2","1420"
"2021-02-22","30","30","2","28","1422"
"2021-02-23","29","29","3","26","1425"
"2021-02-24","25","27","6","19","1431"
"2021-02-25","33","32","5","28","1436"
"2021-02-26","24","23","1","23","1437"
"2021-02-27","17","17","4","13","1441"
"2021-02-28","12","10","6","6","1447"
