"date_id","활성사용자수","활성사용자수(웰컴 및 Event 수신제외)","신규사용자수","재방문사용자수","누적사용자수"
"2021-04-01","262","260","13","249","1941"
"2021-04-02","201","199","12","189","1953"
"2021-04-03","25","25","0","25","1953"
"2021-04-04","26","25","3","23","1956"
"2021-04-05","277","277","11","266","1967"
"2021-04-06","263","263","5","258","1972"
"2021-04-07","255","255","6","249","1978"
"2021-04-08","234","234","7","227","1985"
"2021-04-09","227","227","5","222","1990"
"2021-04-10","53","53","3","50","1993"
"2021-04-11","35","35","3","32","1996"
"2021-04-12","243","243","7","236","2003"
"2021-04-13","298","298","13","285","2016"
"2021-04-14","126","263","10","116","2026"
"2021-04-15","270","270","10","260","2036"
"2021-04-16","217","217","7","210","2043"
"2021-04-17","48","46","2","46","2045"
"2021-04-18","25","24","4","21","2049"
"2021-04-19","261","261","7","254","2056"
"2021-04-20","251","251","5","246","2061"
"2021-04-21","254","254","3","251","2064"
"2021-04-22","225","225","4","221","2068"
"2021-04-23","180","180","5","175","2073"
"2021-04-24","35","35","2","33","2075"
"2021-04-25","19","19","2","17","2077"
"2021-04-26","174","173","4","170","2081"
"2021-04-27","215","215","9","206","2090"
"2021-04-28","197","197","4","193","2094"
"2021-04-29","195","194","4","191","2098"
"2021-04-30","137","137","1","136","2099"
