"date_id","활성사용자수","활성사용자수(웰컴 및 Event 수신제외)","신규사용자수","재방문사용자수","누적사용자수"
"2021-06-01","247","247","4","243","2290"
"2021-06-02","235","235","1","234","2291"
"2021-06-03","233","233","7","226","2298"
"2021-06-04","216","216","4","212","2302"
"2021-06-05","52","52","0","52","2302"
"2021-06-06","24","24","0","24","2302"
"2021-06-07","247","247","2","245","2304"
"2021-06-08","258","258","13","245","2317"
"2021-06-09","247","247","7","240","2324"
"2021-06-10","243","243","4","239","2328"
"2021-06-11","204","204","9","195","2337"
"2021-06-12","41","41","2","39","2339"
"2021-06-13","20","20","1","19","2340"
"2021-06-14","217","217","3","214","2343"
"2021-06-15","179","179","3","176","2346"
"2021-06-16","172","172","2","170","2348"
"2021-06-17","159","159","0","159","2348"
"2021-06-18","111","111","1","110","2349"
"2021-06-19","24","24","0","24","2349"
"2021-06-20","3","3","1","2","2350"
"2021-06-21","99","99","2","97","2352"
"2021-06-22","102","101","7","95","2359"
"2021-06-23","84","84","1","83","2360"
"2021-06-24","98","98","2","96","2362"
"2021-06-25","82","82","0","82","2362"
"2021-06-26","9","9","0","9","2362"
"2021-06-27","4","4","0","4","2362"
"2021-06-28","85","85","1","84","2363"
"2021-06-29","92","92","2","90","2365"
"2021-06-30","104","104","1","103","2366"
